year,title,directors_0,rating,genres_0,genres_1,rank,running_time_secs,actors_0,actors_1,actors_2,directors_1,directors_2
2013,The Kings of Summer,Jordan Vogt-Roberts,7.1,Comedy,Drama,107,5700,Nick Robinson,Gabriel Basso,Moises Arias,,
2009,Mr. Nobody,Jaco Van Dormael,7.8,Drama,Fantasy,108,8460,Jared Leto,Sarah Polley,Diane Kruger,,
2013,The Fifth Estate,Bill Condon,6.4,Biography,Drama,110,7680,Benedict Cumberbatch,Daniel Bruhl,Carice van Houten,,
1997,Titanic,James Cameron,7.6,Drama,Romance,111,11640,Leonardo DiCaprio,Kate Winslet,Billy Zane,,
2004,The Incredibles,Brad Bird,8,Animation,Action,112,6900,Craig T. Nelson,Samuel L. Jackson,Holly Hunter,,
2014,Into the Woods,Rob Marshall,,Comedy,Fantasy,113,,Anna Kendrick,Johnny Depp,Chris Pine,,
1994,Pulp Fiction,Quentin Tarantino,9,Crime,Drama,114,9240,John Travolta,Uma Thurman,Samuel L. Jackson,,
2013,The Call,Brad Anderson,6.6,Crime,Thriller,115,5640,Halle Berry,Evie Thompson,Abigail Breslin,,
2013,Side Effects,Steven Soderbergh,7.1,Crime,Drama,116,6360,Rooney Mara,Channing Tatum,Jude Law,,
2012,The Iceman,Ariel Vromen,6.9,Biography,Crime,117,6300,Michael Shannon,Chris Evans,James Franco,,
1939,The Wizard of Oz,Victor Fleming,8.2,Adventure,Family,118,6060,Judy Garland,Frank Morgan,Ray Bolger,George Cukor,Mervyn LeRoy
2013,Big Sur,Michael Polish,6.3,Drama,,119,6000,Stana Katic,Radha Mitchell,Kate Bosworth,,
1985,The Breakfast Club,John Hughes,7.9,Comedy,Drama,120,5820,Emilio Estevez,Judd Nelson,Molly Ringwald,,
2010,Inception,Christopher Nolan,8.8,Action,Adventure,121,8880,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,,
2012,Hitchcock,Sacha Gervasi,6.9,Biography,Drama,122,5880,Anthony Hopkins,Helen Mirren,Scarlett Johansson,,
2014,The Expendables 3,Patrick Hughes,,Action,Adventure,123,,Jason Statham,Sylvester Stallone,Arnold Schwarzenegger,,
2013,The Wolverine,James Mangold,7.1,Action,Adventure,124,7560,Hugh Jackman,Will Yun Lee,Tao Okamoto,,
2013,The Purge,James DeMonaco,5.5,Horror,Sci-Fi,125,5100,Ethan Hawke,Lena Headey,Max Burkholder,,
2013,Safe Haven,Lasse Hallstrom,6.4,Drama,Mystery,126,6900,Julianne Hough,Josh Duhamel,Cobie Smulders,,
2012,The Perks of Being a Wallflower,Stephen Chbosky,8,Drama,Romance,127,6120,Logan Lerman,Emma Watson,Ezra Miller,,
